city;country;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Abidjan;ivory coast;-2.196048357;2.293424658;-17.7539726;10.194028;5.921862415;-32.46876712;3.815890411;23.38347331;8.332417097;-2.349589041;-1.43890411;1.40853507;-0.026343289;2.40739726;-8.51890411;7.807249046;0.439052324;-0.48;-0.174079647;0.191530055;1.424193428;-1.84
Abilene;us;3.16439479;2.228493151;0.804931507;0.497808968;-1.612055543;-3.141643836;2.176986301;-0.291592934;1.512688824;1.749315068;-4.117808219;0.797880829;0.763763006;0.39260274;3.004657534;-0.166487761;-2.652690321;0.594794521;-0.883087806;1.548087432;-0.673492776;-0.676712329
Abu Dhabi;united arab emirates;-0.993676173;0.91369863;1.233972603;-0.339787409;-0.220212591;-1.531780822;2.472054795;-0.305580508;-0.678529082;-0.819178082;0.303835616;-1.342740475;1.570959653;1.733150685;-0.477260274;-0.034227113;-0.608786586;-0.256438356;1.352110188;-1.939617486;3.022575792;-1.908219178
Addis Ababa;ethiopia;-12.14725354;12.8539726;-14.83890411;-22.53639419;-25.44634553;0;0;0;44.41068493;-14.97123288;14.94958904;-40.20608354;-10.61391646;24.36191781;45.70383562;0.603354293;2.688974474;-6.907007261;-3.576229508;10.1636612;-0.203986077;-29.90273973
Akron Canton;us;0.516031889;2.583287671;-0.535890411;-1.363155925;1.833566884;-2.297260274;-0.382191781;1.123207575;0.775148589;1.011232877;-0.97890411;-1.935619433;0.77424957;1.852054795;0.424109589;2.162700801;-2.879961075;-1.457260274;2.650136986;1.102111685;0.231586945;-1.024109589
Albany;us;-0.036166629;2.146575342;-0.115890411;-2.173753275;2.702520398;-2.389863014;-0.337808219;0.90793772;1.198089677;1.338630137;-2.361369863;-0.023983831;-0.738755895;2.886575342;-0.260547945;1.463274946;-2.704096864;-0.488767123;1.418630137;1.326692866;-0.857925743;0.085205479
Albuquerque;us;1.558387604;-0.392876712;1.276986301;1.382639419;-0.125379145;-2.084657534;2.164931507;-1.134403024;1.24344412;-0.529589041;-1.036438356;-0.424684482;1.071533797;0.64739726;0.082191781;1.539041096;-2.299315068;1.24630137;-0.490958904;0.787415226;0.832584774;-0.70630137
Algiers;algeria;2.284224867;-3.088767123;2.636986301;-0.291733663;0.487076128;-2.322191781;2.695068493;-0.955308032;-1.174007036;2.016986301;-1.763561644;0.365391122;0.72748559;0.008493151;0.69260274;-0.670384759;-0.585779624;1.491232877;-1.148076203;-0.531693989;1.479770192;-2.815068493
Allentown;us;1.065954787;2.483835616;-0.805479452;-4.313436634;4.163573621;-1.44109589;-0.011506849;1.095040048;0.626329815;1.371232877;-1.82;-1.062808593;-0.176917434;2.494246575;0.409589041;0.456141927;-1.961073434;-1.180547945;2.09369863;1.409398159;-0.306658433;-0.171232877
Almaty;kazakhstan;3.353768995;-2.870136986;2.227671233;0.580226813;-0.055569279;-1.383013699;-0.513150685;2.053373007;-0.830907254;1.019452055;-1.409041096;0.313392469;-0.546269182;0.459178082;-0.644931507;-0.609780672;3.448136837;-2.203835616;3.375917359;-1.896174863;1.538339696;-3.66630137
Amarillo;us;0.307019987;1.984109589;-0.220273973;1.440073359;0.486501984;-3.747945205;2.447945205;-0.43759488;0.131841455;0.769589041;-1.144931507;0.067544726;-0.516037877;1.087123288;2.173972603;1.378712478;-3.022274122;-0.432328767;0.603287671;1.272080246;-0.428518602;-0.233972603
Amman;jordan;-1.777287222;1.047945205;0.829315068;-0.62756868;1.287294708;-2.987123288;1.298630137;0.798192979;0.131670035;-0.119452055;-0.079452055;0.570512763;-0.168868927;3.584109589;-4.381917808;1.839081518;-1.708122614;1.076438356;-0.654108092;-0.166120219;1.555296804;-0.925479452
Amsterdam;the netherlands;3.039312074;-1.010958904;2.166575342;0.194688974;-0.685099933;-1.201643836;1.319178082;0.008002845;0.469531402;0.69369863;-0.258082192;-1.107333633;-0.179515682;-2.286027397;3.270958904;-1.15377648;-0.796086533;2.980273973;-1.869979789;-0.882786885;1.950574893;-1.343013699
Anchorage;us;3.466120967;-2.229315068;-1.760821918;3.818824762;-0.850879557;0.219452055;1.675342466;-0.537630811;0.691877386;-3.401369863;0.551232877;-2.549117449;2.234596901;1.272876712;-0.629589041;-1.994004791;3.600032188;2.209315068;-0.659452055;1.457755071;-3.701042743;2.915342466
Ankara;turkey;-2.041706715;1.841917808;0.762465753;-2.0905457;3.721778576;-4.434246575;3.082191781;-1.173275694;0.626152407;-0.15890411;1.563561644;-2.096930159;1.164875365;3.081369863;-4.762465753;1.8307014;0.526832847;1.375616438;-2.194525788;-0.593442623;1.177009507;1.300547945
Antananarivo;madagascar;-6.147853133;-3.719452055;2.52630137;-2.691783068;11.40575567;-2.083835616;1.288767123;-0.057681713;0.182887192;-0.108767123;-1.229863014;0.53579759;0.691051725;1.185205479;0.049863014;-12.25590164;9.960559174;1.471232877;-0.520043416;-1.456284153;2.345368665;-1.569863014
Ashabad;turkmenistan;1.973602066;-30.37780822;31.29835616;0.264866382;0.063626768;-2.773972603;0.753150685;1.514572199;0.582414103;-0.155890411;-1.369315068;-0.418410809;0.469095741;2.491232877;-2.543835616;0.608643611;1.746424882;-1.704657534;0.671893854;-1.136612022;1.475403099;-1.300273973
