country,number of cities
albania,20
algeria,23
argentina,23
australia,115
austria,23
bahamas,23
bahrain,23
barbados,23
belarus,23
belgium,23
belize,23
benin,23
bolivia,23
brazil,69
bulgaria,22
canada,195
central african republic,23
china,115
colombia,23
congo,23
costa rica,23
croatia,23
cuba,23
czech republic,23
denmark,23
dominican republic,23
egypt,23
equador,40
ethiopia,20
finland,23
france,46
gabon,23
gambia,21
germany,42
guatemala,23
guinea,21
guinea-bissau,13
haiti,17
honduras,23
hong kong,23
hungary,23
iceland,23
india,92
indonesia,18
ireland,23
italy,46
ivory coast,23
japan,69
jordan,23
kazakhstan,23
kenya,16
kuwait,23
kyrgyzstan,22
laos,23
latvia,23
lebanon,23
macedonia,23
madagascar,23
malaysia,23
mauritania,23
mexico,59
mongolia,23
morocco,23
mozambique,23
myanmar (burma),23
namibia,23
nepal,22
new zealand,23
nicaragua,23
nigeria,42
north korea,23
norway,23
oman,18
pakistan,46
panama,23
philippines,23
poland,23
portugal,23
qatar,23
romania,23
russia,31
saudi arabia,46
senegal,23
singapore,23
slovakia,23
south africa,23
south korea,23
spain,69
sri lanka,23
suriname,23
sweden,23
switzerland,69
syria,23
taiwan,23
tajikistan,20
tanzania,23
the netherlands,23
togo,23
tunisia,23
turkey,46
turkmenistan,23
uganda,21
ukraine,23
united arab emirates,46
united kingdom,46
uruguay,23
us,3479
uzbekistan,23
venezuela,23
vietnam,23
yugoslavia,23
