measurement_ID,country,city,year,avgtemperature,temperatureincrease
4,Albania,Tirana,1999,"26,696164383561644",
9,Albania,Tirana,2004,"61,08524590163935","-0,7870828654839457"
10,Albania,Tirana,2005,"59,93561643835616","-1,1496294632831834"
11,Albania,Tirana,2006,"58,56904109589041","-1,366575342465751"
12,Albania,Tirana,2007,"60,89013698630137","2,321095890410959"
13,Albania,Tirana,2008,"59,790710382513666","-1,0994266037877054"
14,Albania,Tirana,2009,"59,401095890410964","-0,3896144921027016"
15,Albania,Tirana,2010,"60,568767123287664","1,1676712328766996"
16,Albania,Tirana,2011,"59,9186301369863","-0,6501369863013622"
17,Albania,Tirana,2012,"59,8844262295082","-0,034203907478101314"
18,Albania,Tirana,2013,"60,4131506849315","0,5287244554233013"
19,Albania,Tirana,2014,"60,215616438356165","-0,19753424657533714"
20,Albania,Tirana,2015,"60,09016393442623","-0,12545250392993523"
21,Albania,Tirana,2016,"58,98688524590164","-1,1032786885245898"
22,Albania,Tirana,2017,"60,38465753424658","1,3977722883449388"
23,Albania,Tirana,2018,"59,88931506849315","-0,4953424657534313"
27,Algeria,Algiers,1996,"62,64207650273224",
28,Algeria,Algiers,1997,"64,92630136986301","2,2842248671307743"
29,Algeria,Algiers,1998,"61,837534246575345","-3,088767123287667"
30,Algeria,Algiers,1999,"64,4745205479452","2,636986301369859"
31,Algeria,Algiers,2000,"64,1827868852459","-0,29173366269930057"
32,Algeria,Algiers,2001,"64,66986301369863","0,48707612845272763"
33,Algeria,Algiers,2002,"62,34767123287671","-2,3221917808219175"
34,Algeria,Algiers,2003,"65,04273972602739","2,6950684931506785"
35,Algeria,Algiers,2004,"64,08743169398907","-0,9553080320383174"
36,Algeria,Algiers,2005,"62,91342465753425","-1,1740070364548245"
37,Algeria,Algiers,2006,"64,9304109589041","2,0169863013698546"
38,Algeria,Algiers,2007,"63,1668493150685","-1,763561643835608"
39,Algeria,Algiers,2008,"63,53224043715847","0,3653911220899744"
40,Algeria,Algiers,2009,"64,25972602739726","0,7274855902387927"
41,Algeria,Algiers,2010,"64,26821917808219","0,008493150684927286"
42,Algeria,Algiers,2011,"64,96082191780822","0,692602739726027"
43,Algeria,Algiers,2012,"64,29043715846994","-0,6703847593382761"
44,Algeria,Algiers,2013,"63,70465753424658","-0,5857796242233633"
45,Algeria,Algiers,2014,"65,19589041095891","1,4912328767123313"
46,Algeria,Algiers,2015,"64,04781420765028","-1,1480762033086336"
47,Algeria,Algiers,2016,"63,51612021857924","-0,5316939890710373"
48,Algeria,Algiers,2017,"64,9958904109589","1,479770192379668"
49,Algeria,Algiers,2018,"62,18082191780822","-2,81506849315069"
53,Argentina,Buenos Aires,1996,"62,71010928961749",
54,Argentina,Buenos Aires,1997,"63,14383561643836","0,4337263268208673"
55,Argentina,Buenos Aires,1998,"59,558904109589044","-3,5849315068493155"
56,Argentina,Buenos Aires,1999,"61,39506849315069","1,8361643835616448"
57,Argentina,Buenos Aires,2000,"61,955191256830595","0,5601227636799067"
58,Argentina,Buenos Aires,2001,"62,89506849315069","0,9398772363200933"
59,Argentina,Buenos Aires,2002,"60,78739726027398","-2,1076712328767115"
60,Argentina,Buenos Aires,2003,"61,04246575342466","0,2550684931506808"
61,Argentina,Buenos Aires,2004,"62,625956284153","1,5834905307283407"
62,Argentina,Buenos Aires,2005,"62,31150684931507","-0,3144494348379254"
63,Argentina,Buenos Aires,2006,"62,68794520547945","0,37643835616437826"
64,Argentina,Buenos Aires,2007,"60,88219178082192","-1,8057534246575315"
65,Argentina,Buenos Aires,2008,"62,46857923497268","1,5863874541507599"
66,Argentina,Buenos Aires,2009,"62,570958904109595","0,10237966913691565"
67,Argentina,Buenos Aires,2010,"63,00630136986301","0,43534246575341484"
68,Argentina,Buenos Aires,2011,"63,235342465753426","0,2290410958904161"
69,Argentina,Buenos Aires,2012,"63,72513661202186","0,4897941462684372"
70,Argentina,Buenos Aires,2013,"62,880547945205485","-0,844588666816378"
71,Argentina,Buenos Aires,2014,"63,61369863013699","0,7331506849315019"
72,Argentina,Buenos Aires,2015,"62,935792349726775","-0,6779062804102125"
73,Argentina,Buenos Aires,2016,"60,87267759562842","-2,0631147540983577"
74,Argentina,Buenos Aires,2017,"64,13780821917808","3,265130623549666"
75,Argentina,Buenos Aires,2018,"61,24904109589041","-2,8887671232876713"
79,Australia,Brisbane,1996,"67,6931693989071",
80,Australia,Brisbane,1997,"67,84575342465753","0,1525840257504285"
81,Australia,Brisbane,1998,"67,19287671232877","-0,6528767123287622"
82,Australia,Brisbane,1999,"66,94410958904109","-0,2487671232876778"
83,Australia,Brisbane,2000,"67,74180327868852","0,7976936896474314"
84,Australia,Brisbane,2001,"68,00904109589041","0,2672378172018881"
85,Australia,Brisbane,2002,"66,38082191780822","-1,6282191780821904"
86,Australia,Brisbane,2003,"66,57013698630136","0,18931506849314417"
87,Australia,Brisbane,2004,"68,61612021857924","2,0459832322778766"
88,Australia,Brisbane,2005,"69,18821917808219","0,5720989595029522"
89,Australia,Brisbane,2006,"68,55150684931506","-0,6367123287671319"
90,Australia,Brisbane,2007,"68,47589041095891","-0,07561643835614973"
91,Australia,Brisbane,2008,"66,49945355191257","-1,9764368590463448"
92,Australia,Brisbane,2009,"68,86246575342466","2,363012201512092"
93,Australia,Brisbane,2010,"68,66767123287671","-0,19479452054794422"
