name_of_powerplant;country_code;country;capacity_in_mw;primary_fuel
Bistrica 1;ALB;albania;27;Hydro
Fierza;ALB;albania;500;Hydro
Koman;ALB;albania;600;Hydro
Lanabregas;ALB;albania;5;Hydro
Shkopet;ALB;albania;24;Hydro
Ulez;ALB;albania;25;Hydro
Vau i Dijes;ALB;albania;250;Hydro
Vlora;ALB;albania;98;Other
Adrar;DZA;algeria;20;Solar
Ain Azel;DZA;algeria;20;Solar
Ain Djasser;DZA;algeria;520;Gas
Ain Sekhouna;DZA;algeria;20;Solar
Ain el Ibel I;DZA;algeria;20;Solar
Ain el Ibel II;DZA;algeria;53;Solar
Ain el Melh;DZA;algeria;20;Solar
Algerie Sud-Ouest;DZA;algeria;43.5;Solar
Annaba;DZA;algeria;71;Gas
Aoulef;DZA;algeria;5;Solar
Arbaa;DZA;algeria;560;Gas
Bir Rebaa;DZA;algeria;10;Solar
Boufarik 1;DZA;algeria;100;Gas
Boufarik 2;DZA;algeria;450;Gas
Boutelilis;DZA;algeria;450;Gas
Chelghoum El Aïd;DZA;algeria;15;Solar
El Kheneg;DZA;algeria;60;Solar
F'Krina;DZA;algeria;292;Gas
HPC Ouargla;DZA;algeria;30;Solar
Hadjret Ennous;DZA;algeria;1200;Gas
Hamma 2;DZA;algeria;418;Gas
Hassi Messaoud Mobile;DZA;algeria;72;Gas
Hassi Messoud;DZA;algeria;600;Gas
Hassi Messoud Nord 2;DZA;algeria;200;Gas
Hassi Messoud Ouest;DZA;algeria;492;Gas
Hassi R'mel ISCC;DZA;algeria;20;Solar
Hauts Plateaux Centre;DZA;algeria;106.6;Solar
Hauts Plateaux Est;DZA;algeria;73.8;Solar
Ighil Emda;DZA;algeria;24;Hydro
In Salah;DZA;algeria;5;Solar
Jijel;DZA;algeria;588;Gas
Kahrama IPP;DZA;algeria;345;Gas
Koudiet Eddraouch;DZA;algeria;1200;Gas
Labiodh Sidi Cheikh;DZA;algeria;20;Solar
Labreg;DZA;algeria;396;Gas
Marsat;DZA;algeria;840;Gas
Marsat TG;DZA;algeria;184;Gas
Msila 1;DZA;algeria;980;Gas
Naâma;DZA;algeria;19.9;Solar
Oued El Kebrit;DZA;algeria;15;Solar
Oued el Ma;DZA;algeria;20;Solar
Ras Djinet;DZA;algeria;672;Gas
Ras el Oued;DZA;algeria;20;Solar
Ravin Blanc;DZA;algeria;73;Gas
Reggane;DZA;algeria;5;Solar
Relizane;DZA;algeria;465;Gas
SKB IPP;DZA;algeria;484;Gas
SKS IPP SNC Lavalin;DZA;algeria;815;Gas
SPP1 Thermal;DZA;algeria;150;Gas
Skikda;DZA;algeria;262;Gas
Tamanrasset;DZA;algeria;13;Solar
Terga;DZA;algeria;1200;Gas
Tiaret;DZA;algeria;300;Gas
Tilghemt 1;DZA;algeria;200;Gas
Tilghemt 2;DZA;algeria;600;Gas
Timimoun;DZA;algeria;9;Solar
Tindouf;DZA;algeria;9;Solar
Télagh;DZA;algeria;12;Solar
Zaouiet Kounta;DZA;algeria;6;Solar
AGUA DEL CAJON (AUTOGENERADOR DEL MEM);ARG;argentina;479.2;Other
AGUA DEL CAJON (GENERADOR DEL MEM);ARG;argentina;192;Gas
AGUA DEL TORO;ARG;argentina;130;Hydro
ALICURA;ARG;argentina;1050;Hydro
ALMIRANTE BROWN;ARG;argentina;25;Oil
ALTO VALLE;ARG;argentina;97.5;Gas
ALUMINE;ARG;argentina;1.904;Oil
ALVAREZ CONDARCO;ARG;argentina;50.7;Hydro
ARROYITO;ARG;argentina;128;Hydro
ATUCHA I;ARG;argentina;370;Nuclear
ATUCHA II;ARG;argentina;745;Nuclear
BANDERA;ARG;argentina;31;Oil
BARILOCHE (PUERTO  MORENO);ARG;argentina;5.736;Oil
BENJAMIN REOLIN;ARG;argentina;38.4;Hydro
BERNARDO  DE IRIGOYEN;ARG;argentina;2.096;Oil
C.T. RUFINO;ARG;argentina;31.9;Oil
C.T. SAN VICENTE;ARG;argentina;27.6;Oil
CAA CATI;ARG;argentina;1.415;Oil
CABRA CORRAL;ARG;argentina;102;Hydro
CACHEUTA (NUEVA);ARG;argentina;120;Hydro
CACHI;ARG;argentina;1.07;Oil
CAFAYATE;ARG;argentina;4.182;Oil
CAPITAL CATAMARCA - PREDIO CHOYA;ARG;argentina;5.728;Oil
CAPITAL CATAMARCA - PREDIO EX CARCEL;ARG;argentina;7.075;Oil
CAPITAL CATAMARCA - PREDIO RIPIERA;ARG;argentina;4.675;Oil
CASA DE PIEDRA;ARG;argentina;60;Hydro
CASSAFFOUSTH;ARG;argentina;17.28;Hydro
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA;ARG;argentina;620;Coal
CENTRAL LOMA DE LA LATA SA;ARG;argentina;540;Gas
CENTRAL PARQUE INDUSTRIAL LA BANDA;ARG;argentina;11.228;Oil
CENTRAL T.GENELBA;ARG;argentina;673.6;Gas
CENTRAL T.GENELBA PLUS;ARG;argentina;164.55;Gas
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA);ARG;argentina;280;Gas
CENTRAL TERMICA DE CICLO COMBINADO SALTA;ARG;argentina;643;Gas
CENTRAL TERMICA GÜEMES SA;ARG;argentina;361;Coal
CENTRAL TERMICA LA BANDA;ARG;argentina;32;Gas
CENTRAL TERMICA PIQUIRENDA SA;ARG;argentina;30.44;Oil
CENTRAL TERMICA REMEDIOS DE ESCALADA;ARG;argentina;25;Oil
CENTRAL TERMOELECTRICA GUILLERMO BROWN;ARG;argentina;524;Gas
CENTRAL TERMOELECTRICA MANUEL BELGRANO;ARG;argentina;868.2;Gas
CENTRAL TERMOELECTRICA TIMBUES;ARG;argentina;865.14;Gas
CH LOS CARACOLES;ARG;argentina;121.4;Hydro
CHILECITO;ARG;argentina;5;Oil
CHIMBERA 1;ARG;argentina;2;Solar
CIPOLLETTI;ARG;argentina;5.78;Hydro
COMANDANTE ANDRESITO;ARG;argentina;2.372;Oil
COMODORO RIVADAVIA;ARG;argentina;141.02;Gas
COMODORO RIVADAVIA - ANTONIO MORAN;ARG;argentina;16.56;Wind
CORRIENTES;ARG;argentina;1.4;Oil
COSTANERA;ARG;argentina;1982.2;Coal
CRUZ DE PIEDRA;ARG;argentina;17.94;Gas
CRUZ DEL EJE;ARG;argentina;5.052;Oil
CT 13 DE JULIO;ARG;argentina;26;Gas
CT ALEM;ARG;argentina;15;Oil
CT ALUMINE;ARG;argentina;6.3;Oil
CT ARISTOBULO DEL VALLE;ARG;argentina;15;Oil
CT ARRECIFES;ARG;argentina;20;Oil
CT AÑATUYA;ARG;argentina;19.2;Oil
CT AÑATUYA II;ARG;argentina;11.5;Oil
CT BARILOCHE;ARG;argentina;20;Oil
CT BELL VILLE;ARG;argentina;15.62;Oil
CT BRAGADO;ARG;argentina;49.8;Gas
CT CAPITAN SARMIENTO;ARG;argentina;5;Oil
CT CATAMARCA;ARG;argentina;19.2;Oil
CT CAVIAHUE;ARG;argentina;5;Oil
CT CERES;ARG;argentina;18;Oil
CT CHARATA;ARG;argentina;19.4;Oil
CT CHILECITO;ARG;argentina;10;Oil
CT CIPOLLETTI;ARG;argentina;5;Oil
CT COLON BUENOS AIRES;ARG;argentina;15.3;Oil
CT CONCEPCION DEL URUGUAY;ARG;argentina;41.78;Gas
CT CORRIENTES;ARG;argentina;20;Oil
CT ECOENERGIA (PETROBRAS);ARG;argentina;13.2;Coal
CT ENSENADA DE BARRAGAN;ARG;argentina;567;Gas
CT ESQUINA;ARG;argentina;16.5;Oil
CT FORMOSA II;ARG;argentina;30;Oil
CT GENERAL VILLEGAS;ARG;argentina;23.49;Oil
CT GOYA;ARG;argentina;13;Oil
CT INDEPENDENCIA;ARG;argentina;120;Gas
CT INGENIERO JUAREZ;ARG;argentina;4;Oil
CT INTA CATAMARCA;ARG;argentina;7.04;Oil
CT ISLA VERDE;ARG;argentina;24.5;Oil
CT JUAN JOSE CASTELLI;ARG;argentina;15;Oil
CT JUNIN;ARG;argentina;22;Oil
CT LA PLATA;ARG;argentina;40.4;Oil
CT LA RIOJA DELIVERY;ARG;argentina;19.2;Oil
CT LA RIOJA SUR;ARG;argentina;10;Oil
CT LAGUNA BLANCA;ARG;argentina;7;Oil
CT LAS ARMAS;ARG;argentina;10.4;Gas
CT LAS ARMAS II;ARG;argentina;23.37;Gas
CT LAS PALMAS;ARG;argentina;6;Oil
CT LIBERTADOR GENERAL SAN MARTIN;ARG;argentina;15;Oil
CT LINCOLN;ARG;argentina;15.002;Oil
CT LOBOS;ARG;argentina;15.686;Oil
CT MAGDALENA;ARG;argentina;25;Oil
CT MATHEU;ARG;argentina;41;Gas
CT MEDANITOS (RINCON DE LOS SAUCES);ARG;argentina;32;Oil
CT MIRAMAR I;ARG;argentina;20;Oil
CT OLAVARRIA;ARG;argentina;38.8;Gas
CT ORAN;ARG;argentina;15;Oil
CT PARANA;ARG;argentina;40;Gas
CT PARQUE INDUSTRIAL CATAMARCA;ARG;argentina;15;Oil
CT PASO DE LA PATRIA;ARG;argentina;7.2;Oil
CT PEHUAJO;ARG;argentina;22.4;Oil
CT PINAMAR;ARG;argentina;21;Gas
CT PIRANE;ARG;argentina;16.25;Oil
CT PLUSPETROL NORTE;ARG;argentina;246;Gas
CT RAFAELA;ARG;argentina;19.2;Oil
CT REALICO;ARG;argentina;24;Oil
CT ROCA;ARG;argentina;130;Gas
CT SAENZ PEÑA  I;ARG;argentina;20;Oil
CT SAENZ PEÑA  II;ARG;argentina;15;Oil
CT SALTO;ARG;argentina;22.5;Oil
CT SAN MARTIN NORTE III;ARG;argentina;5.1;Oil
CT SAN MIGUEL DE TUCUMAN;ARG;argentina;396.62;Gas
CT SAN MIGUEL NORTE III;ARG;argentina;11.5;Oil
CT SANTA ROSA;ARG;argentina;6;Oil
CT TARTAGAL;ARG;argentina;10;Oil
CT TEREVINTOS;ARG;argentina;8;Oil
CT TINOGASTA;ARG;argentina;15;Oil
CT TUCUMAN;ARG;argentina;438;Gas
CT VENADO TUERTO;ARG;argentina;19.2;Oil
CT VIALE;ARG;argentina;10;Oil
CT VILLA ANGELA;ARG;argentina;15;Oil
CT VILLA REGINA;ARG;argentina;5;Oil
CUESTA DEL VIENTO;ARG;argentina;10.55;Hydro
Cafayate;ARG;argentina;80;Solar
Caldenes del Oeste;ARG;argentina;30;Solar
Cauchari;ARG;argentina;300;Solar
DEAN FUNES;ARG;argentina;70.12;Gas
DIQUE;ARG;argentina;68.44;Gas
DOCK SUD;ARG;argentina;872.3;Gas
EL CADILLAL;ARG;argentina;14;Hydro
EL CARRIZAL;ARG;argentina;17;Hydro
EL CHOCON;ARG;argentina;1200;Hydro
EL TIGRE;ARG;argentina;14.4;Hydro
EL TUNAL;ARG;argentina;11;Hydro
EMBALSE;ARG;argentina;648;Nuclear
ESCABA;ARG;argentina;24;Hydro
ESQUINA;ARG;argentina;2.215;Oil
EX CENTRAL BUENOS AIRES;ARG;argentina;321;Gas
FILO MORADO;ARG;argentina;67.5;Gas
FITZ SIMON;ARG;argentina;10.8;Hydro
FLORENTINO AMEGHINO;ARG;argentina;60;Hydro
FUTALEUFU;ARG;argentina;472;Hydro
GENERACION FRIAS SA;ARG;argentina;60;Gas
GENERAL ACHA;ARG;argentina;1.8;Wind
GENERAL LEVALLE;ARG;argentina;72.78;Gas
GENERAL SAN MARTIN;ARG;argentina;6;Hydro
GOYA;ARG;argentina;1.33;Oil
GOYA (ELECTROPATAGONIA SA);ARG;argentina;17.3;Gas
GUILLERMO CESPEDES;ARG;argentina;5.2;Hydro
H. PICHI PICUN LEUFU;ARG;argentina;285;Hydro
ISLA VERDE;ARG;argentina;3.115;Oil
ITA IBATE;ARG;argentina;1.052;Oil
ITUZAINGO;ARG;argentina;1.33;Oil
Iglesia-Guañizuil;ARG;argentina;80;Solar
JULIAN  ROMERO;ARG;argentina;6.2;Hydro
LA CRUZ;ARG;argentina;1.33;Oil
LA PLATA COGENERACION;ARG;argentina;128;Gas
LA RIOJA;ARG;argentina;42;Oil
LA TABLADA;ARG;argentina;22.15;Gas
LA VIÑA;ARG;argentina;16;Hydro
LAS MADERAS;ARG;argentina;30;Hydro
LOS CORONELES (EX 25  DE MAYO);ARG;argentina;6.6;Hydro
LOS MOLINOS I;ARG;argentina;59.04;Hydro
LOS MOLINOS II;ARG;argentina;4.5;Hydro
LOS QUIROGA;ARG;argentina;2.5;Hydro
LOS REYUNOS;ARG;argentina;224;Hydro
LUJAN DE CUYO;ARG;argentina;549.76;Gas
MAR DE AJO;ARG;argentina;34;Gas
MAR DEL PLATA (9 DE JULIO);ARG;argentina;201.3;Gas
MAYOR BURATOVICH;ARG;argentina;2.02;Wind
MBURUCUYA;ARG;argentina;1.035;Oil
MERCEDES;ARG;argentina;2.308;Oil
MODESTO MARANZANA;ARG;argentina;250;Gas
NECOCHEA;ARG;argentina;206;Coal
NIHUIL I;ARG;argentina;74.24;Hydro
NIHUIL II;ARG;argentina;133.12;Hydro
NIHUIL III;ARG;argentina;52;Hydro
NIHUIL IV;ARG;argentina;22.4;Hydro
NUEVA ESPERANZA;ARG;argentina;3.38;Oil
NUEVO PUERTO;ARG;argentina;1217.7;Gas
OBERA (TG Nº21 FIAT );ARG;argentina;17.2;Gas
ORENSE;ARG;argentina;1.72;Oil
PARANA;ARG;argentina;845.26;Other
PARQUE EOLICO ARAUCO SAPEM I;ARG;argentina;25.2;Wind
PARQUE EOLICO ARAUCO SAPEM II;ARG;argentina;25.2;Wind
PARQUE EOLICO DIADEMA;ARG;argentina;6.3;Wind
PARQUE EOLICO EL TORDILLO;ARG;argentina;3;Wind
PARQUE EOLICO LOMA BLANCA IV (ENARSA);ARG;argentina;50;Wind
PARQUE EOLICO RAWSON I (ENARSA);ARG;argentina;48.6;Wind
PARQUE EOLICO RAWSON II (ENARSA);ARG;argentina;28.8;Wind
PASO DE LOS LIBRES;ARG;argentina;2.135;Oil
PATAGONIA;ARG;argentina;123.7;Gas
PERUGORRIA;ARG;argentina;1.11;Oil
PICO TRUNCADO - JORGE ROMANUTTI;ARG;argentina;2.4;Wind
PICO TRUNCADO I;ARG;argentina;45.6;Gas
PIEDRA DEL AGUILA (CPSA);ARG;argentina;1400;Hydro
PIEDRAS MORAS;ARG;argentina;6.3;Hydro
PILAR  BICENTENARIO;ARG;argentina;467;Gas
PILAR ZANICHELLI;ARG;argentina;216;Coal
PLANICIE BANDERITA;ARG;argentina;472;Hydro
PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1;ARG;argentina;1.2;Solar
PRESIDENTE SARMIENTO;ARG;argentina;31.5;Gas
PUEBLO VIEJO;ARG;argentina;19.2;Hydro
PUERTO MADRYN;ARG;argentina;42;Gas
PUERTO NUEVO;ARG;argentina;589;Coal
PUNTA ALTA - CENTENARIO;ARG;argentina;1.8;Wind
QUEBRADA DE ULLUM;ARG;argentina;45;Hydro
RIO CORRALITO;ARG;argentina;13.2;Hydro
RIO CUARTO;ARG;argentina;35.57;Gas
RIO GRANDE;ARG;argentina;750;Hydro
RIO HONDO;ARG;argentina;19;Hydro
SALTO ANDERSEN;ARG;argentina;7.9;Hydro
SALTO GRANDE (MITAD ARGENTINA);ARG;argentina;945;Hydro
SAN FRANCISCO;ARG;argentina;40;Gas
SAN MARTIN DE LOS ANDES;ARG;argentina;4.218;Oil
SAN NICOLAS;ARG;argentina;644;Coal
SAN PEDRO;ARG;argentina;2.216;Oil
SAN ROQUE;ARG;argentina;26;Hydro
SANTA ISABEL;ARG;argentina;2.25;Oil
SANTO TOME;ARG;argentina;2.684;Oil
SORRENTO;ARG;argentina;226;Coal
SUDOESTE;ARG;argentina;140;Gas
Saujil;ARG;argentina;22.5;Solar
TARTAGAL;ARG;argentina;17;Gas
TENARIS SIDERCA CETE II;ARG;argentina;163.2;Gas
TOSTADO;ARG;argentina;3.2;Oil
ULLUM;ARG;argentina;42;Hydro
URUGUA-I;ARG;argentina;120;Hydro
VENADO TUERTO;ARG;argentina;9.1;Oil
VILLA GESELL;ARG;argentina;130;Gas
VILLA MARIA (LAS PLAYAS);ARG;argentina;48;Gas
VUELTA DE OBLIGADO;ARG;argentina;560;Gas
YACYRETA;ARG;argentina;1550;Hydro
Adelaide Showgrounds;AUS;australia;1;Solar
Albany Wind Farm;AUS;australia;21.6;Wind
Amcor Gawler;AUS;australia;4;Oil
Angaston;AUS;australia;50;Oil
Anglesea;AUS;australia;165;Coal
